FRED_ticker;Transformation;Inclusion;No_lag;
RPI;Log growth;1;0;
W875RX1;Log growth;1;0;
DPCERA3M086SBEA;Log growth;1;0;
CMRMTSPLx;Log growth;1;0;
RETAILx;Log growth;1;0;
INDPRO;Log growth;1;0;
IPFPNSS;Log growth;1;0;
IPFINAL;Log growth;1;0;
IPCONGD;Log growth;1;0;
IPDCONGD;Log growth;1;0;
IPNCONGD;Log growth;1;0;
IPBUSEQ;Log growth;1;0;
IPMAT;Log growth;1;0;
IPDMAT;Log growth;1;0;
IPNMAT;Log growth;1;0;
IPMANSICS;Log growth;1;0;
IPB51222S;Log growth;1;0;
IPFUELS;Log growth;1;0;
CUMFNS;Difference;1;0;
HWI;Difference;1;0;
HWIURATIO;Difference;1;0;
CLF16OV;Log growth;1;0;
CE16OV;Log growth;1;0;
UNRATE;Difference;1;0;
UEMPMEAN;Difference;1;0;
UEMPLT5;Log growth;1;0;
UEMP5TO14;Log growth;1;0;
UEMP15OV;Log growth;1;0;
UEMP15T26;Log growth;1;0;
UEMP27OV;Log growth;1;0;
CLAIMSx;Log growth;1;0;
PAYEMS;Log growth;1;0;
USGOOD;Log growth;1;0;
CES1021000001;Log growth;1;0;
USCONS;Log growth;1;0;
MANEMP;Log growth;1;0;
DMANEMP;Log growth;1;0;
NDMANEMP;Log growth;1;0;
SRVPRD;Log growth;1;0;
USTPU;Log growth;1;0;
USWTRADE;Log growth;1;0;
USTRADE;Log growth;1;0;
USFIRE;Log growth;1;0;
USGOVT;Log growth;1;0;
CES0600000007;Log growth;1;0;
AWOTMAN;Log growth;1;0;
AWHMAN;Log growth;1;0;
HOUST;Log;1;0;
HOUSTNE;Log;1;0;
HOUSTMW;Log;1;0;
HOUSTS;Log;1;0;
HOUSTW;Log;1;0;
PERMIT;Log;1;0;
PERMITNE;Log;1;0;
PERMITMW;Log;1;0;
PERMITS;Log;1;0;
PERMITW;Log;1;0;
ACOGNO;;0;0;
AMDMNOx;Log growth;1;0;
ANDENOx;;0;0;
AMDMUOx;Log growth;1;0;
BUSINVx;Log growth;1;0;
ISRATIOx;Difference;1;0;
M1SL;Log growth;1;0;
M2SL;Log growth;1;0;
M2REAL;Log growth;1;0;
BOGMBASE;Log growth;1;0;Dans FRED : AMBSL
TOTRESNS;Log growth;1;0;
NONBORRES;Log growth;1;0;
BUSLOANS;Log growth;1;0;
REALLN;Log growth;1;0;
NONREVSL;Log growth;1;0;
CONSPI;Difference;1;0;
S.P.500;;0;0;
S.P..indust;;0;0;
S.P.div.yield;;1;0;Dans l'article : DIVYLD
S.P.PE.ratio;;0;0;
FEDFUNDS;;1;1;
CP3Mx;;1;1;
TB3MS;;1;1;
TB6MS;;1;1;
GS1;;1;1;
GS5;;1;1;
GS10;;1;1;
AAA;;1;1;
BAA;;1;1;
COMPAPFFx;;1;1;
TB3SMFFM;;1;1;
TB6SMFFM;;1;1;
T1YFFM;;1;1;
T5YFFM;;1;1;
T10YFFM;;1;1;
AAAFFM;;1;1;
BAAFFM;;1;1;
TWEXAFEGSMTHx;;0;1;
EXSZUSx;Log growth;1;1;
EXJPUSx;Log growth;1;1;
EXUSUKx;Log growth;1;1;
EXCAUSx;Log growth;1;1;
WPSFD49207;Log growth;1;0;
WPSFD49502;Log growth;1;0;
WPSID61;Log growth;1;0;
WPSID62;Log growth;1;0;
OILPRICEx;Log growth;1;1;
PPICMM;Log growth;1;0;
CPIAUCSL;Log growth;1;0;
CPIAPPSL;Log growth;1;0;
CPITRNSL;Log growth;1;0;
CPIMEDSL;Log growth;1;0;
CUSR0000SAC;Log growth;1;0;
CUSR0000SAD;Log growth;1;0;
CUSR0000SAS;Log growth;1;0;
CPIULFSL;Log growth;1;0;
CUSR0000SA0L2;Log growth;1;0;
CUSR0000SA0L5;Log growth;1;0;
PCEPI;Log growth;1;0;
DDURRG3M086SBEA;Log growth;1;0;
DNDGRG3M086SBEA;Log growth;1;0;
DSERRG3M086SBEA;Log growth;1;0;
CES0600000008;Log growth;1;0;
CES2000000008;Log growth;1;0;
CES3000000008;Log growth;1;0;
UMCSENTx;Log growth;0;0;
MZMSL;Log growth;1;0;
DTCOLNVHFNM;Log growth;1;0;
DTCTHFNM;Log growth;1;0;
INVEST;Log growth;1;0;
VXOCLSx;;0;0;
